EFTA01648638,10,mp4,video,3332492,3.18,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648638.pdf,True,yes,0,47.4,720x1280,Video (no speech detected); 720x1280; 47s
EFTA01648639,10,mp4,video,968488,0.92,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648639.pdf,True,yes,0,47.4,272x480,Video (no speech detected); 272x480; 47s
EFTA01648640,10,mp4,video,851553,0.81,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648640.pdf,True,yes,0,47.4,272x480,Video (no speech detected); 272x480; 47s
EFTA01648641,10,mp4,video,37461,0.04,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648641.pdf,False,,,47.4,640x480,Silent surveillance video; 640x480; 47s
EFTA01648642,10,mp4,video,842315,0.8,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648642.pdf,True,yes,5,9.4,1920x1080,Video with speech (5 words transcribed); 1920x1080; 9s
EFTA01648643,10,mp4,video,8808,0.01,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648643.pdf,False,,,9.5,640x480,Silent surveillance video; 640x480; 10s
EFTA01648644,10,mp4,video,3139286,2.99,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648644.pdf,True,yes,45,30.6,1080x1920,Video with speech (45 words transcribed); 1080x1920; 31s
EFTA01648645,10,mp4,video,24734,0.02,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648645.pdf,False,,,30.6,640x480,Silent surveillance video; 640x480; 31s
EFTA01648646,10,mp4,video,24734,0.02,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648646.pdf,False,,,30.6,640x480,Silent surveillance video; 640x480; 31s
EFTA01648647,10,mp4,video,14292639,13.63,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648647.pdf,True,yes,4,25.8,1080x1920,Video with speech (4 words transcribed); 1080x1920; 26s
EFTA01648648,10,mp4,video,21104,0.02,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648648.pdf,False,,,25.8,640x480,Silent surveillance video; 640x480; 26s
EFTA01648649,10,mp4,video,21104,0.02,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648649.pdf,False,,,25.8,640x480,Silent surveillance video; 640x480; 26s
EFTA01648650,10,mp4,video,1369365,1.31,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648650.pdf,True,yes,19,8.6,1080x1920,Video with speech (19 words transcribed); 1080x1920; 9s
EFTA01648651,10,mp4,video,546843,0.52,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648651.pdf,True,yes,13,4.7,1080x1920,Video with speech (13 words transcribed); 1080x1920; 5s
EFTA01648652,10,mp4,video,354006,0.34,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648652.pdf,True,yes,0,1.0,1080x1920,Video (no speech detected); 1080x1920; 1s
EFTA01648653,10,mp4,video,476927,0.45,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648653.pdf,True,yes,0,2.9,1080x1920,Video (no speech detected); 1080x1920; 3s
EFTA01648654,10,mp4,video,3299816,3.15,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648654.pdf,True,yes,14,41.3,1080x1920,Video with speech (14 words transcribed); 1080x1920; 41s
EFTA01648655,10,mp4,video,1316830,1.26,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648655.pdf,True,yes,0,2.7,1080x1920,Video (no speech detected); 1080x1920; 3s
EFTA01648656,10,mp4,video,1567267,1.49,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648656.pdf,True,yes,0,19.5,1920x1080,Video (no speech detected); 1920x1080; 20s
EFTA01648657,10,mp4,video,1866273,1.78,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648657.pdf,True,yes,4,69.6,480x480,Video with speech (4 words transcribed); 480x480; 1.2min
EFTA01648658,10,mp4,video,202981,0.19,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648658.pdf,True,yes,0,17.1,320x568,Video (no speech detected); 320x568; 17s
EFTA01648659,10,mp4,video,458015,0.44,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648659.pdf,True,yes,0,18.0,320x568,Video (no speech detected); 320x568; 18s
EFTA01648660,10,mp4,video,1527059,1.46,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648660.pdf,True,yes,0,4.1,1080x1920,Video (no speech detected); 1080x1920; 4s
EFTA01648661,10,mp4,video,116508268,111.11,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648661.pdf,True,yes,0,607.5,1920x1080,Video (no speech detected); 1920x1080; 10.1min
EFTA01648662,10,mp4,video,758329,0.72,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648662.pdf,True,yes,22,31.3,352x640,Video with speech (22 words transcribed); 352x640; 31s
EFTA01648663,10,mp4,video,972954,0.93,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648663.pdf,True,yes,6,51.4,320x568,Video with speech (6 words transcribed); 320x568; 51s
EFTA01648664,10,mp4,video,1176611,1.12,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648664.pdf,True,yes,3,54.0,568x320,Video with speech (3 words transcribed); 568x320; 54s
EFTA01648665,10,mp4,video,2011324,1.92,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648665.pdf,True,yes,0,39.6,1280x720,Video (no speech detected); 1280x720; 40s
EFTA01648666,10,mp4,video,21438760,20.45,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648666.pdf,True,yes,19,171.7,1080x1920,Video with speech (19 words transcribed); 1080x1920; 2.9min
EFTA01648667,10,mp4,video,7341249,7.0,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648667.pdf,True,yes,0,65.3,1080x1920,Video (no speech detected); 1080x1920; 1.1min
EFTA01648668,10,mp4,video,144327,0.14,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648668.pdf,True,yes,0,6.1,320x568,Video (no speech detected); 320x568; 6s
EFTA01648669,10,mp4,video,292170,0.28,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648669.pdf,True,yes,0,14.0,320x568,Video (no speech detected); 320x568; 14s
EFTA01648670,10,mp4,video,599245,0.57,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648670.pdf,True,yes,0,3.0,720x960,Video (no speech detected); 720x960; 3s
EFTA01648671,10,mp4,video,1168826,1.11,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01648671.pdf,True,yes,0,10.7,1280x720,Video (no speech detected); 1280x720; 11s
