EFTA01683482,10,mov,video,2472654,2.36,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683482.pdf,True,yes,0,2.8,1440x1080,Video (no speech detected); 1440x1080; 3s
EFTA01683483,10,mp4,video,435726,0.42,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683483.pdf,True,yes,0,2.9,640x480,Video (no speech detected); 640x480; 3s
EFTA01683484,10,mp4,video,1101047,1.05,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683484.pdf,True,yes,0,2.6,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683485,10,mp4,video,346865,0.33,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683485.pdf,True,yes,0,1.0,1080x1440,Video (no speech detected); 1080x1440; 1s
EFTA01683486,10,mp4,video,755267,0.72,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683486.pdf,True,yes,0,1.9,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683487,10,mp4,video,7281031,6.94,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683487.pdf,True,yes,44,19.8,1280x720,Video with speech (44 words transcribed); 1280x720; 20s
EFTA01683488,10,mp4,video,959578,0.92,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683488.pdf,True,yes,0,34.1,128x224,Video (no speech detected); 128x224; 34s
EFTA01683489,10,mp4,video,212210,0.2,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683489.pdf,True,yes,5,2.9,720x960,Video with speech (5 words transcribed); 720x960; 3s
EFTA01683490,10,mp4,video,4620386,4.41,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683490.pdf,True,yes,17,152.3,568x320,Video with speech (17 words transcribed); 568x320; 2.5min
EFTA01683491,10,mp4,video,4892615,4.67,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683491.pdf,True,yes,0,74.6,540x960,Video (no speech detected); 540x960; 1.2min
EFTA01683492,10,mp4,video,482372,0.46,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683492.pdf,True,yes,5,2.8,1080x1440,Video with speech (5 words transcribed); 1080x1440; 3s
EFTA01683493,10,mp4,video,653158,0.62,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683493.pdf,True,yes,0,2.3,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683494,10,mp4,video,977607,0.93,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683494.pdf,True,yes,0,1.9,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683495,10,mp4,video,763810,0.73,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683495.pdf,True,yes,0,32.7,128x224,Video (no speech detected); 128x224; 33s
EFTA01683496,10,mp4,video,4571027,4.36,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683496.pdf,True,yes,0,40.1,720x1280,Video (no speech detected); 720x1280; 40s
EFTA01683497,10,mp4,video,1534549,1.46,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683497.pdf,True,yes,11,7.6,640x1136,Video with speech (11 words transcribed); 640x1136; 8s
EFTA01683498,10,mp4,video,220829,0.21,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683498.pdf,True,yes,0,25.7,128x224,Video (no speech detected); 128x224; 26s
EFTA01683499,10,mp4,video,772820,0.74,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683499.pdf,True,yes,5,2.8,1080x1440,Video with speech (5 words transcribed); 1080x1440; 3s
EFTA01683500,10,mp4,video,413696,0.39,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683500.pdf,True,yes,4,1.7,928x902,Video with speech (4 words transcribed); 928x902; 2s
EFTA01683501,10,mp4,video,2159689,2.06,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683501.pdf,True,yes,0,12.3,720x1280,Video (no speech detected); 720x1280; 12s
EFTA01683502,10,mp4,video,1244873,1.19,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683502.pdf,True,yes,5,2.8,1080x1440,Video with speech (5 words transcribed); 1080x1440; 3s
EFTA01683503,10,mp4,video,29518,0.03,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683503.pdf,True,yes,0,1.8,1080x1440,Video (no speech detected); 1080x1440; 2s
EFTA01683504,10,mp4,video,425705,0.41,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683504.pdf,True,yes,6,1.9,960x720,Video with speech (6 words transcribed); 960x720; 2s
EFTA01683505,10,mp4,video,1422441,1.36,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683505.pdf,True,yes,0,2.6,1080x1440,Video (no speech detected); 1080x1440; 3s
EFTA01683506,10,mp4,video,2095328,2.0,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683506.pdf,True,yes,5,11.1,352x640,Video with speech (5 words transcribed); 352x640; 11s
EFTA01683507,10,mp4,video,507577,0.48,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683507.pdf,True,yes,2,3.0,1080x1440,Video with speech (2 words transcribed); 1080x1440; 3s
EFTA01683508,10,mp4,video,3533838,3.37,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683508.pdf,True,yes,0,18.7,720x1280,Video (no speech detected); 720x1280; 19s
EFTA01683509,10,mp4,video,4326564,4.13,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683509.pdf,True,yes,0,13.7,1280x720,Video (no speech detected); 1280x720; 14s
EFTA01683510,10,mp4,video,14534595,13.86,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683510.pdf,True,yes,86,59.1,720x1280,Video with speech (86 words transcribed); 720x1280; 59s
EFTA01683511,10,mp4,video,5727852,5.46,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683511.pdf,True,yes,0,53.3,1080x1920,Video (no speech detected); 1080x1920; 53s
EFTA01683512,10,mp4,video,212850,0.2,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683512.pdf,True,yes,0,5.7,480x272,Video (no speech detected); 480x272; 6s
EFTA01683513,10,mp4,video,158850,0.15,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683513.pdf,False,,,5.0,320x568,Silent surveillance video; 320x568; 5s
EFTA01683514,10,mp4,video,1469947,1.4,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683514.pdf,True,yes,4,2.8,1080x1440,Video with speech (4 words transcribed); 1080x1440; 3s
EFTA01683515,10,mp4,video,3839174,3.66,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683515.pdf,True,yes,54,27.3,720x1280,Video with speech (54 words transcribed); 720x1280; 27s
EFTA01683516,10,mp4,video,19645638,18.74,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683516.pdf,True,yes,4,71.0,720x1280,Video with speech (4 words transcribed); 720x1280; 1.2min
EFTA01683517,10,mp4,video,5872290,5.6,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683517.pdf,True,yes,12,26.1,720x1280,Video with speech (12 words transcribed); 720x1280; 26s
EFTA01683518,10,mp4,video,2055591,1.96,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683518.pdf,True,yes,3,14.7,720x1280,Video with speech (3 words transcribed); 720x1280; 15s
EFTA01683519,10,mp4,video,556516,0.53,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683519.pdf,True,yes,0,25.1,224x128,Video (no speech detected); 224x128; 25s
EFTA01683520,10,mp4,video,14173504,13.52,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683520.pdf,True,yes,0,52.1,720x1280,Video (no speech detected); 720x1280; 52s
EFTA01683521,10,mp4,video,319530,0.3,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683521.pdf,True,yes,5,14.5,720x1280,Video with speech (5 words transcribed); 720x1280; 14s
EFTA01683522,10,mp4,video,9920120,9.46,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683522.pdf,True,yes,8,38.3,720x1280,Video with speech (8 words transcribed); 720x1280; 38s
EFTA01683523,10,mp4,video,4199577,4.01,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683523.pdf,True,yes,0,74.6,540x960,Video (no speech detected); 540x960; 1.2min
EFTA01683524,10,mp4,video,738927,0.7,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683524.pdf,True,yes,0,42.1,1280x720,Video (no speech detected); 1280x720; 42s
EFTA01683525,10,mp4,video,1202731,1.15,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683525.pdf,True,yes,11,7.6,640x1136,Video with speech (11 words transcribed); 640x1136; 8s
EFTA01683526,10,mp4,video,225803,0.22,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683526.pdf,True,yes,0,9.9,720x1280,Video (no speech detected); 720x1280; 10s
EFTA01683527,10,mp4,video,3776861,3.6,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683527.pdf,True,yes,0,40.1,720x1280,Video (no speech detected); 720x1280; 40s
EFTA01683528,10,mp4,video,2739382,2.61,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683528.pdf,True,yes,0,92.1,854x480,Video (no speech detected); 854x480; 1.5min
EFTA01683529,10,mp4,video,1188806,1.13,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683529.pdf,True,yes,14,45.7,224x128,Video with speech (14 words transcribed); 224x128; 46s
EFTA01683530,10,mp4,video,655342,0.62,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683530.pdf,True,yes,0,2.5,720x1280,Video (no speech detected); 720x1280; 2s
EFTA01683531,10,mp4,video,247576,0.24,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683531.pdf,True,yes,0,11.2,720x1280,Video (no speech detected); 720x1280; 11s
EFTA01683532,10,mp4,video,266721,0.25,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683532.pdf,False,,,12.8,720x1280,Silent surveillance video; 720x1280; 13s
EFTA01683533,10,mp4,video,2420343,2.31,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683533.pdf,True,yes,0,39.5,488x960,Video (no speech detected); 488x960; 40s
EFTA01683534,10,mp4,video,544950,0.52,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683534.pdf,True,yes,0,9.0,720x1280,Video (no speech detected); 720x1280; 9s
EFTA01683535,10,mp4,video,1466130,1.4,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683535.pdf,True,yes,0,15.0,720x1280,Video (no speech detected); 720x1280; 15s
EFTA01683536,10,mp4,video,2335036,2.23,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683536.pdf,True,yes,0,14.8,720x1280,Video (no speech detected); 720x1280; 15s
EFTA01683537,10,mp4,video,367596,0.35,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683537.pdf,True,yes,0,10.7,720x1280,Video (no speech detected); 720x1280; 11s
EFTA01683538,10,mp4,video,1344171,1.28,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683538.pdf,True,yes,0,14.7,720x1280,Video (no speech detected); 720x1280; 15s
EFTA01683539,10,mp4,video,660194,0.63,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683539.pdf,True,yes,0,24.1,720x1280,Video (no speech detected); 720x1280; 24s
EFTA01683540,10,mp4,video,5185995,4.95,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683540.pdf,True,yes,62,51.8,540x960,Video with speech (62 words transcribed); 540x960; 52s
EFTA01683541,10,mp4,video,392553,0.37,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683541.pdf,True,yes,0,5.4,720x1280,Video (no speech detected); 720x1280; 5s
EFTA01683542,10,mp4,video,520697,0.5,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683542.pdf,True,yes,0,4.9,720x1280,Video (no speech detected); 720x1280; 5s
EFTA01683543,10,mp4,video,4332197,4.13,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683543.pdf,True,yes,0,13.7,1280x720,Video (no speech detected); 1280x720; 14s
EFTA01683544,10,mp4,video,538815,0.51,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683544.pdf,True,yes,0,7.0,720x1280,Video (no speech detected); 720x1280; 7s
EFTA01683545,10,mp4,video,1703159,1.62,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683545.pdf,True,yes,0,10.1,720x1280,Video (no speech detected); 720x1280; 10s
EFTA01683546,10,wav,audio,751484,0.72,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683546.pdf,True,yes,0,47.0,,Audio recording (no speech detected); 47s
EFTA01683547,10,wav,audio,815114,0.78,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683547.pdf,True,yes,0,50.9,,Audio recording (no speech detected); 51s
EFTA01683548,10,wav,audio,438384,0.42,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683548.pdf,True,yes,0,27.4,,Audio recording (no speech detected); 27s
EFTA01683549,10,m4a,audio,817818,0.78,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683549.pdf,True,yes,100,51.1,,Audio recording (100 words transcribed); 51s
EFTA01683550,10,mp4,video,243089,0.23,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683550.pdf,True,yes,5,9.4,568x320,Video with speech (5 words transcribed); 568x320; 9s
EFTA01683551,10,mp4,video,189443,0.18,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683551.pdf,True,yes,0,6.9,272x480,Video (no speech detected); 272x480; 7s
EFTA01683552,10,mp4,video,558240,0.53,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683552.pdf,False,,,24.6,720x480,Silent surveillance video; 720x480; 25s
EFTA01683553,10,mp4,video,544904,0.52,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683553.pdf,False,,,17.7,720x480,Silent surveillance video; 720x480; 18s
EFTA01683554,10,mp4,video,65074,0.06,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683554.pdf,False,,,0.5,720x480,Silent surveillance video; 720x480; 0s
EFTA01683555,10,mp4,video,355623,0.34,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683555.pdf,False,,,5.7,720x480,Silent surveillance video; 720x480; 6s
EFTA01683556,10,mp4,video,1827110,1.74,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683556.pdf,False,,,105.0,720x480,Silent surveillance video; 720x480; 1.8min
EFTA01683557,10,mp4,video,278689,0.27,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683557.pdf,False,,,1.6,720x480,Silent surveillance video; 720x480; 2s
EFTA01683558,10,mp4,video,395631,0.38,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683558.pdf,False,,,7.1,720x480,Silent surveillance video; 720x480; 7s
EFTA01683559,10,mp4,video,314525,0.3,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683559.pdf,False,,,5.0,720x480,Silent surveillance video; 720x480; 5s
EFTA01683560,10,mp4,video,370125,0.35,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683560.pdf,False,,,10.0,720x480,Silent surveillance video; 720x480; 10s
EFTA01683561,10,mp4,video,567441,0.54,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683561.pdf,False,,,25.4,720x480,Silent surveillance video; 720x480; 25s
EFTA01683562,10,mp4,video,1075537,1.03,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683562.pdf,False,,,42.9,720x480,Silent surveillance video; 720x480; 43s
EFTA01683563,10,mp4,video,147730,0.14,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683563.pdf,False,,,0.5,720x480,Silent surveillance video; 720x480; 0s
EFTA01683564,10,mp4,video,488981,0.47,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683564.pdf,False,,,7.5,720x480,Silent surveillance video; 720x480; 8s
EFTA01683565,10,mp4,video,46269,0.04,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683565.pdf,False,,,0.3,720x480,Silent surveillance video; 720x480; 0s
EFTA01683566,10,mp4,video,871331,0.83,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683566.pdf,False,,,22.7,720x480,Silent surveillance video; 720x480; 23s
EFTA01683567,10,mp4,video,314356,0.3,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683567.pdf,False,,,4.0,720x480,Silent surveillance video; 720x480; 4s
EFTA01683568,10,mp4,video,913833,0.87,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683568.pdf,False,,,45.4,720x480,Silent surveillance video; 720x480; 45s
EFTA01683569,10,mp4,video,167397,0.16,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683569.pdf,False,,,0.5,720x480,Silent surveillance video; 720x480; 0s
EFTA01683570,10,mp4,video,575131,0.55,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683570.pdf,False,,,9.8,720x480,Silent surveillance video; 720x480; 10s
EFTA01683571,10,mp4,video,873399,0.83,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683571.pdf,False,,,26.5,720x480,Silent surveillance video; 720x480; 26s
EFTA01683572,10,mp4,video,148025,0.14,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683572.pdf,False,,,0.5,720x480,Silent surveillance video; 720x480; 0s
EFTA01683573,10,mp4,video,629086,0.6,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683573.pdf,False,,,22.5,720x480,Silent surveillance video; 720x480; 22s
EFTA01683574,10,mp4,video,354418,0.34,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01683574.pdf,False,,,9.2,720x480,Silent surveillance video; 720x480; 9s
EFTA01688313,10,mp4,video,473316,0.45,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688313.pdf,True,yes,2,2.5,1080x1440,Video with speech (2 words transcribed); 1080x1440; 2s
EFTA01688314,10,mov,video,2472654,2.36,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688314.pdf,True,yes,0,2.8,1440x1080,Video (no speech detected); 1440x1080; 3s
EFTA01688315,10,mp4,video,99600881,94.99,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688315.pdf,True,yes,0,1405.5,720x540,Video (no speech detected); 720x540; 23.4min
EFTA01688316,10,mp4,video,165536992,157.87,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688316.pdf,True,yes,0,1847.9,720x540,Video (no speech detected); 720x540; 30.8min
EFTA01688317,10,mp4,video,341068,0.33,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688317.pdf,True,yes,3,2.9,640x480,Video with speech (3 words transcribed); 640x480; 3s
EFTA01688318,10,mp4,video,86663,0.08,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688318.pdf,True,yes,0,6.5,640x480,Video (no speech detected); 640x480; 6s
EFTA01688319,10,mp4,video,4837475,4.61,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688319.pdf,True,yes,13,24.8,640x480,Video with speech (13 words transcribed); 640x480; 25s
EFTA01688320,10,mp4,video,492788,0.47,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688320.pdf,True,yes,94,34.4,176x144,Video with speech (94 words transcribed); 176x144; 34s
EFTA01688321,10,mp4,video,7999406,7.63,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688321.pdf,True,yes,375,154.2,568x320,Video with speech (375 words transcribed); 568x320; 2.6min
EFTA01688322,10,mp4,video,603011,0.58,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688322.pdf,True,yes,8,14.1,480x640,Video with speech (8 words transcribed); 480x640; 14s
EFTA01688323,10,mp4,video,415984,0.4,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688323.pdf,True,yes,0,32.4,320x240,Video (no speech detected); 320x240; 32s
EFTA01688324,10,mp4,video,779162,0.74,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688324.pdf,True,yes,0,2.8,1080x1920,Video (no speech detected); 1080x1920; 3s
EFTA01688325,10,mp4,video,496254,0.47,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688325.pdf,True,yes,8,9.4,272x480,Video with speech (8 words transcribed); 272x480; 9s
EFTA01688326,10,mp4,video,1392162,1.33,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688326.pdf,True,yes,21,39.4,568x320,Video with speech (21 words transcribed); 568x320; 39s
EFTA01688327,10,mp4,video,107802,0.1,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688327.pdf,True,yes,0,2.7,640x480,Video (no speech detected); 640x480; 3s
EFTA01688328,10,mp4,video,884951,0.84,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688328.pdf,True,yes,0,26.1,272x480,Video (no speech detected); 272x480; 26s
EFTA01688329,10,mp4,video,424098,0.4,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688329.pdf,True,yes,3,9.1,272x480,Video with speech (3 words transcribed); 272x480; 9s
EFTA01688330,10,mp4,video,1469966,1.4,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688330.pdf,True,yes,7,54.0,272x480,Video with speech (7 words transcribed); 272x480; 54s
EFTA01688331,10,mp4,video,2210078,2.11,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688331.pdf,True,yes,25,54.0,272x480,Video with speech (25 words transcribed); 272x480; 54s
EFTA01688332,10,mp4,video,2369842,2.26,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688332.pdf,True,yes,0,5.8,1080x1920,Video (no speech detected); 1080x1920; 6s
EFTA01688333,10,mp4,video,184201,0.18,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688333.pdf,True,yes,2,12.7,480x480,Video with speech (2 words transcribed); 480x480; 13s
EFTA01688334,10,mp4,video,1249270,1.19,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688334.pdf,True,yes,0,33.1,320x568,Video (no speech detected); 320x568; 33s
EFTA01688335,10,mp4,video,8823068,8.41,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688335.pdf,True,yes,52,34.1,320x568,Video with speech (52 words transcribed); 320x568; 34s
EFTA01688336,10,mp3,audio,294192,0.28,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688336.pdf,True,yes,177,72.1,,Audio recording (177 words transcribed); 1.2min
EFTA01688337,10,mp4,video,3832847,3.66,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688337.pdf,True,yes,176,78.3,568x320,Video with speech (176 words transcribed); 568x320; 1.3min
EFTA01688338,10,mp4,video,1713644,1.63,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688338.pdf,True,yes,155,44.3,352x288,Video with speech (155 words transcribed); 352x288; 44s
EFTA01688339,10,mp4,video,1710214,1.63,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688339.pdf,True,yes,93,35.7,568x320,Video with speech (93 words transcribed); 568x320; 36s
EFTA01688340,10,mp4,video,196328,0.19,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688340.pdf,True,yes,5,9.4,568x320,Video with speech (5 words transcribed); 568x320; 9s
EFTA01688341,10,mp4,video,190694,0.18,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688341.pdf,True,yes,10,7.4,568x320,Video with speech (10 words transcribed); 568x320; 7s
EFTA01688342,10,mp4,video,1277080,1.22,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688342.pdf,True,yes,0,29.2,568x320,Video (no speech detected); 568x320; 29s
EFTA01688343,10,mp4,video,770013,0.73,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688343.pdf,True,yes,8,15.0,480x480,Video with speech (8 words transcribed); 480x480; 15s
EFTA01688344,10,mp4,video,137759,0.13,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688344.pdf,True,yes,0,6.9,272x480,Video (no speech detected); 272x480; 7s
EFTA01688349,10,mp4,video,4381246,4.18,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688349.pdf,True,yes,0,41.7,1280x720,Video (no speech detected); 1280x720; 42s
EFTA01688350,10,mp4,video,216527,0.21,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688350.pdf,True,yes,0,30.7,128x224,Video (no speech detected); 128x224; 31s
EFTA01688351,10,mp4,video,2363666,2.25,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688351.pdf,True,yes,0,13.7,720x1280,Video (no speech detected); 720x1280; 14s
EFTA01688352,10,mp4,video,1710214,1.63,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688352.pdf,True,yes,93,35.7,568x320,Video with speech (93 words transcribed); 568x320; 36s
EFTA01688353,10,mp4,video,545736,0.52,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688353.pdf,True,yes,0,2.0,720x960,Video (no speech detected); 720x960; 2s
EFTA01688354,10,mp4,video,418708,0.4,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688354.pdf,True,yes,0,9.3,320x568,Video (no speech detected); 320x568; 9s
EFTA01688355,10,mp4,video,2342472,2.23,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688355.pdf,True,yes,0,97.0,480x272,Video (no speech detected); 480x272; 1.6min
EFTA01688356,10,mp4,video,713835,0.68,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688356.pdf,True,yes,13,13.5,480x848,Video with speech (13 words transcribed); 480x848; 14s
EFTA01688357,10,mp4,video,7572541,7.22,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688357.pdf,True,yes,0,19.5,720x1280,Video (no speech detected); 720x1280; 20s
EFTA01688358,10,mp4,video,6846516,6.53,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01688358.pdf,True,yes,0,14.3,1664x1082,Video (no speech detected); 1664x1082; 14s
EFTA01731285,10,mp4,video,7725175,7.37,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01731285.pdf,True,yes,0,45.8,1080x1920,Video (no speech detected); 1080x1920; 46s
EFTA02674462,11,m4v,video,541647,0.52,https://www.justice.gov/epstein/files/DataSet%2011/EFTA02674462.pdf,True,yes,29,17.8,208x160,Video with speech (29 words transcribed); 208x160; 18s
EFTA02698946,11,m4v,video,8400,0.01,https://www.justice.gov/epstein/files/DataSet%2011/EFTA02698946.pdf,True,yes,0,0.5,568x320,Video (no speech detected); 568x320; 0s
EFTA02713876,11,m4v,video,805858,0.77,https://www.justice.gov/epstein/files/DataSet%2011/EFTA02713876.pdf,True,yes,7,17.4,320x568,Video with speech (7 words transcribed); 320x568; 17s
EFTA02720005,11,m4v,video,9513218,9.07,https://www.justice.gov/epstein/files/DataSet%2011/EFTA02720005.pdf,True,yes,151,158.2,1280x720,Video with speech (151 words transcribed); 1280x720; 2.6min
