efta_number,dataset,extension,category,file_size_bytes,file_size_mb,doj_pdf_link,has_audio,has_transcript,transcript_word_count,duration_seconds,video_resolution,brief_description
EFTA01204692,9,avi,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01204692.pdf,,,,,,
EFTA01205883,9,m4v,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01205883.pdf,,,,,,
EFTA01206073,9,avi,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01206073.pdf,,,,,,
EFTA01206089,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01206089.pdf,,,,,,No Images Produced — native file type unknown
EFTA01206093,9,avi,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01206093.pdf,,,,,,
EFTA01206365,9,avi,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01206365.pdf,,,,,,
EFTA01206366,9,m4a,audio,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01206366.pdf,,,,,,
EFTA01206709,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01206709.pdf,,,,,,No Images Produced — native file type unknown
EFTA01207386,9,avi,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01207386.pdf,,,,,,
EFTA01207587,9,avi,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01207587.pdf,,,,,,
EFTA01207609,9,avi,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01207609.pdf,,,,,,
EFTA01207680,9,mov,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01207680.pdf,,,,,,
EFTA01207689,9,avi,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01207689.pdf,,,,,,
EFTA01207699,9,mov,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01207699.pdf,,,,,,
EFTA01207700,9,mov,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01207700.pdf,,,,,,
EFTA01207701,9,mov,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01207701.pdf,,,,,,
EFTA01227045,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227045.pdf,,,,,,
EFTA01227046,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227046.pdf,,,,,,
EFTA01227047,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227047.pdf,,,,,,No Images Produced — native file type unknown
EFTA01227048,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227048.pdf,,,,,,
EFTA01227049,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227049.pdf,,,,,,
EFTA01227050,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227050.pdf,,,,,,
EFTA01227051,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227051.pdf,,,,,,
EFTA01227052,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227052.pdf,,,,,,No Images Produced — native file type unknown
EFTA01227053,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227053.pdf,,,,,,
EFTA01227054,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227054.pdf,,,,,,
EFTA01227055,9,mp4,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01227055.pdf,,,,,,
